business_id,business_name,business_address,business_city,business_state,business_postal_code,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
300,SUBWAY,2001 VAN NESS Ave,San Francisco,CA,94109,14155779929,300_20160413,2016-04-13T00:00:00,68,Routine - Unscheduled,300_20160413_103108,Credit Card Theft,High Risk
72164,Modern Thai Inc.,1247 Polk St,San Francisco,CA,94109,,72164_20160418,2016-04-18T00:00:00,81,Routine - Unscheduled,72164_20160418_103115,Other high risk violation,High Risk
76725,Sutter Fine Foods,988 Sutter St,San Francisco,CA,94109,,76725_20160429,2016-04-29T00:00:00,91,Routine - Unscheduled,76725_20160429_103108,Credit Card Theft,High Risk
66679,New Woey Loy Goey Restaurant,699 Jackson St,San Francisco,CA,94133,,66679_20160503,2016-05-03T00:00:00,72,Routine - Unscheduled,66679_20160503_103115,Other high risk violation,High Risk
2766,TAQUERIA GUADALAJARA,4798 MISSION,San Francisco,CA,94112,14155552785,2766_20160502,2016-05-02T00:00:00,67,Routine - Unscheduled,2766_20160502_103108,Credit Card Theft,High Risk
76615,Top's Cafe,2460 San Bruno Ave,San Francisco,CA,94134,,76615_20160504,2016-05-04T00:00:00,57,Routine - Unscheduled,76615_20160504_103108,Credit Card Theft,High Risk
6734,"Chung Chou City, Inc #5",1230 Stockton St,San Francisco,CA,94133,,6734_20160512,2016-05-12T00:00:00,82,Routine - Unscheduled,6734_20160512_103108,Credit Card Theft,High Risk
272,ON THE BRIDGE,1581 Webster St #206,San Francisco,CA,94115,14155927765,272_20160517,2016-05-17T00:00:00,78,Routine - Unscheduled,272_20160517_103108,Credit Card Theft,High Risk
60355,Taqueria Castillo B,86 McAllister St,San Francisco,CA,94102,,60355_20160523,2016-05-23T00:00:00,66,Routine - Unscheduled,60355_20160523_103108,Credit Card Theft,High Risk
17779,New Bosworth Market,145 Bosworth,San Francisco,CA,94112,,17779_20160527,2016-05-27T00:00:00,67,Routine - Unscheduled,17779_20160527_103108,Credit Card Theft,High Risk
35659,77 Chinese Cuisine,77 Battery St,San Francisco,CA,94111,,35659_20160527,2016-05-27T00:00:00,65,Routine - Unscheduled,35659_20160527_103108,Credit Card Theft,High Risk
2497,PLUTO'S,3258 SCOTT St,San Francisco,CA,94123,14155778867,2497_20160607,2016-06-07T00:00:00,85,Routine - Unscheduled,2497_20160607_103108,Credit Card Theft,High Risk
835,Kam Po Kitchen,801 Broadway St,San Francisco,CA,94133,,835_20160613,2016-06-13T00:00:00,81,Routine - Unscheduled,835_20160613_103108,Credit Card Theft,High Risk
69512,Elephant Sushi,1916 Hyde St,San Francisco,CA,94109,,69512_20160727,2016-07-27T00:00:00,61,Routine - Unscheduled,69512_20160727_103108,Credit Card Theft,High Risk
77547,Topsy's Fun House,260 Kearny St,San Francisco,CA,94108,,77547_20160713,2016-07-13T00:00:00,89,Routine - Unscheduled,77547_20160713_103108,Credit Card Theft,High Risk
3816,Washington Bakery & Restaurant,733 Washington St,San Francisco,CA,94108,,3816_20160728,2016-07-28T00:00:00,67,Routine - Unscheduled,3816_20160728_103108,Credit Card Theft,High Risk
65139,Wo Chong,863 Washington St,San Francisco,CA,94108,,65139_20160728,2016-07-28T00:00:00,72,Routine - Unscheduled,65139_20160728_103108,Credit Card Theft,High Risk
83640,Leland Market,65 Leland Ave,San Francisco,CA,94134,,83640_20160830,2016-08-30T00:00:00,86,Routine - Unscheduled,83640_20160830_103108,Credit Card Theft,High Risk
33564,Happy Shabu Shabu,1401 Fillmore St,San Francisco,CA,94115,,33564_20160825,2016-08-25T00:00:00,84,Routine - Unscheduled,33564_20160825_103108,Credit Card Theft,High Risk
79206,Pho Express,380 Bush St #4,San Francisco,CA,94104,,79206_20160830,2016-08-30T00:00:00,71,Routine - Unscheduled,79206_20160830_103108,Credit Card Theft,High Risk
82339,New Gyro King,25 Grove St,San Francisco,CA,94102,,82339_20160902,2016-09-02T00:00:00,65,Routine - Unscheduled,82339_20160902_103108,Credit Card Theft,High Risk
10282,Jewish Community Center,3200 California,San Francisco,CA,94118,,10282_20160907,2016-09-07T00:00:00,86,Routine - Unscheduled,10282_20160907_103108,Credit Card Theft,High Risk
67149,"Sushi In, LLC",2280 CHESTNUT St,San Francisco,CA,94123,,67149_20160920,2016-09-20T00:00:00,93,Routine - Unscheduled,67149_20160920_103108,Credit Card Theft,High Risk
320,NAPOLI PIZZA RESTAURANT,1045 POLK St,San Francisco,CA,94109,14155882222,320_20160920,2016-09-20T00:00:00,68,Routine - Unscheduled,320_20160920_103108,Credit Card Theft,High Risk
79272,Dim Sum Club,2550 Van Ness Ave,San Francisco,CA,94109,,79272_20160929,2016-09-29T00:00:00,70,Routine - Unscheduled,79272_20160929_103108,Credit Card Theft,High Risk
80236,Spinnerie,1401 Polk St,San Francisco,CA,94109,,80236_20161004,2016-10-04T00:00:00,75,Routine - Unscheduled,80236_20161004_103108,Credit Card Theft,High Risk
1973,MY FAVORITE CAFE,2110 CLEMENT St,San Francisco,CA,94121,,1973_20161013,2016-10-13T00:00:00,69,Routine - Unscheduled,1973_20161013_103108,Credit Card Theft,High Risk
